"ScientificName","CommonName","Designation","Type","Family","Subfamily","Tribe","Genus","Layer","LifeCycle","DeciduousEvergreen","Zone","SunShadePreference","ShadeTolerance","PerformanceRating","Fertility","Cover","HighSizeMin","HighSizeMax","WideSizeMinMeter","WideSizeMaxMeter","Flowering","Fruiting","FruitingMinYear","FruitingMaxYear","AnnualProductionMinKg","AnnualProductionMaxKg"
"CydoniaOblonga","Quince","QuinceA","Semi-Vigorous","Rosaceae","Amygdaloideae","Maleae","Cydonia","Canopy","Perennial","D","4","1","2","2","SF","0","3","5","3","5","May-June","","4","5","15","15"
"CydoniaOblonga","Quince","QuinceC","Semi-Dwarfing","Rosaceae","Amygdaloideae","Maleae","Cydonia","Canopy","Perennial","D","4","1","2","2","SF","0","2.5","4","4","4","May-June","","3","4","15","15"
"FicusCarica","FIG","","","Moraceae","","","Ficus","Canopy","Perennial","D","6","1","1","2","SF","0","3","6","2","4","","","3","4","5","15"
"MalusDomestica","Apple","M25","Vigorous","Rosaceae","","","Malus","Canopy","Perennial","D","3","1","2","4","SF-SS","0","6","8","6","6","April-May","","7","10","45","180"
"MalusDomestica","Apple","MM111","Vigorous","Rosaceae","","","Malus","Canopy","Perennial","D","3","1","2","4","SF-SS","0","6","8","6","6","April-May","","7","10","45","180"
"MalusDomestica","Apple","MM106","Semi-Vigorous","Rosaceae","","","Malus","Canopy","Perennial","D","3","1","2","4","SF-SS","0","4","5","4","5","April-May","","3","4","35","70"
"MalusDomestica","Apple","M26","Semi-Swarf","Rosaceae","","","Malus","Canopy","Perennial","D","3","1","2","4","SF-SS","0","2.5","4","3.5","3.5","April-May","","2","4","25","55"
"MespilusGermanica","Medlar","Hawthorn","Semi-Vigorous","Rosaceae","","","Mespilus","Canopy","Perennial","D","6","1","3","4","SF","0","4","6","3","5","May","","2","3","10","20"
"MespilusGermanica","Medlar","QuinceA","Semi-Vigorous","Rosaceae","","","Mespilus","Canopy","Perennial","D","6","1","3","4","SF","0","0","0","0","0","May","","2","3","10","20"
"MespilusGermanica","Medlar","QuinceC","Semi-Vigorous","Rosaceae","","","Mespilus","Canopy","Perennial","D","6","1","3","4","SF","0","0","0","0","0","May","","2","3","10","20"
"PrunusArmeniaca","Apricot","","Semi-Vigorous","Rosaceae","","","Prunus","Canopy","Perennial","D","5","1","1","2","SF","0","4","4","4","4","February-March","","4","5","5","55"
"PrunusAvium","SweetCherry","Colt","Semi-Vigorous","Rosaceae","","","Prunus","Canopy","Perennial","D","3","1","2","3","SF-SS","0","8","10","6","6","April","","3","4","5","55"
"PrunusAvium","SweetCherry","Gisela","Dwarf","Rosaceae","","","Prunus","Canopy","Perennial","D","3","1","2","3","SF-SS","0","2.5","3","2","2","April","","2","3","10","20"
"PrunusCerasus","SourCherry","Colt","Semi-Vigorous","Rosaceae","","","Prunus","Canopy","Perennial","D","3","1","3","3","SF","0","3.5","3.5","3.5","3.5","April-May","","3","4","5","18"
"PrunusCerasus","SourCherry","Gisela","Dwarf","Rosaceae","","","Prunus","Canopy","Perennial","D","3","1","3","3","SF","0","2","2","1.5","1.5","April-May","","2","3","3","8"
"Prunusdomestica&P.insititia","Plums","Myrobalan","Vigorous","Rosaceae","","","Prunus","Canopy","Perennial","D","5","1","2","4","SF-SS","0","6","7","6","7","April","","5","6","65","65"
"Prunusdomestica&P.insititia","Plums","StJulienA","Semi-Vigorous","Rosaceae","","","Prunus","Canopy","Perennial","D","5","1","2","4","SF-SS","0","3.5","4.5","3.5","4.5","April","","3","5","40","50"
"Prunusdomestica&P.insititia","Plums","Pixy","Semi-Dwarf","Rosaceae","","","Prunus","Canopy","Perennial","D","5","1","2","4","SF-SS","0","2.7","3.5","2.7","3.5","April","","2","3","15","30"
"PrunusPersica","Peach&Nectarine","","","Rosaceae","","","Prunus","Canopy","Perennial","D","4","1","1","2","SF","0","3","5","3","5","Early","","2","3","9","36"
"PrunusSalicina","JapanesePlum","StJulienA","","Rosaceae","","","Pyrus","Canopy","Perennial","D","3","1","2","3","SS-SF","0","3","5","3","5","Early","","3","4","15","40"
"PyrusCommunis","EuropeanPear","Pear","Very-Vigorous","Rosaceae","","","Pyrus","Canopy","Perennial","D","4","1","2","3","SS-SF","0","8","20","8","8","April","","10","10","35","100"
"PyrusCommunis","EuropeanPear","Pyrodwarf","Semi-Vigorous","Rosaceae","","","Pyrus","Canopy","Perennial","D","4","1","2","3","SS-SF","0","4","6","4","6","April","","10","10","35","100"
"PyrusCommunis","EuropeanPear","QuinceA","Semi-Vigorous","Rosaceae","","","Pyrus","Canopy","Perennial","D","4","1","2","3","SS-SF","0","3","5","4.5","4.5","April","","4","5","15","45"
"PyrusCommunis","EuropeanPear","QuinceC","Semi-Dwarf","Rosaceae","","","Pyrus","Canopy","Perennial","D","4","1","2","3","SS-SF","0","2.5","4","4","4","April","","3","4","15","45"
"AmelanchierLamarckii","Juneberry","","","Rosaceae","","","Amelanchier","Canopy","Perennial","D","4","1","2","3","SF","0","5","6","3","4","April-May","July","2","3","0","0"
"ArbutusUnedo","StrawberryTree","","","Ericaceae","","","Arbutus","Canopy","Perennial","E","7","1","2","2","SF","0","6","8","6","8","October-November","","2","4","0","0"
"AsiminaTriloba","PawPaw","","","Annonaceae","","","Asimina","Canopy","Perennial","D","5","1","2","3","SS","0","6","6","6","6","May-June","","0","0","0","0"
"CornusCapitata","Bentham'sCornel","C.Capitata","","Cornaceae","","","Cornus","Canopy","Perennial","D","5-7","2","3","3","SF","0","4","6","3","5","June","November-December","0","0","0","0"
"CornusCapitata","Bentham'sCornel","C.Kouse","","Cornaceae","","","Cornus","Canopy","Perennial","D","5-7","2","3","3","SF","0","4","6","3","5","June","November-December","0","0","0","0"
"CornusCapitata","Bentham'sCornel","C.Mas","","Cornaceae","","","Cornus","Canopy","Perennial","D","5-7","2","3","3","SF","0","4","6","3","5","February","July-September","0","0","0","0"
"CrataegusEllwangeriana","Hawthorn","","","Rosaceae","","","Crataegus","Canopy","Perennial","D","5","1","3","4","SF","0","4","6","3","4","March-April","September-October","2","4","0","0"
"DecaisneaFargesii","BlueBean","","","Lardizabalaceae","","","Decaisnea","Canopy","Perennial","D","5","1","2","3","SF","0","4","6","2","4","June-July","","3","4","0","0"
"Diospyrosspp.","Persimmons","D.Kaki","","Ebenaceae","","","Diospyros","Canopy","Perennial","D","5-6","1","1","2","SS","0","4","6","4","6","June-September","","3","6","0","0"
"Diospyrosspp.","Persimmons","D.Lotus","","Ebenaceae","","","Diospyros","Canopy","Perennial","D","5-6","1","1","2","SS","0","10","10","6","6","June-September","","3","6","0","0"
"Diospyrosspp.","Persimmons","D.Virginiana","","Ebenaceae","","","Diospyros","Canopy","Perennial","D","5-6","1","1","2","SS","0","15","15","8","8","June-September","","3","6","0","0"
"ElaeagnusxEbbingei","","","","Elaeagnaceae","","","Elaeagnus","Canopy","Perennial","E","6","1","4","3","SS","0","4","4","4","4","October-November","March-May","1","1","0","0"
"ElaeagnusUmbellata","AutomnOlive","","","Elaeagnaceae","","","Elaeagnus","Canopy","Perennial","D","3","1","2","4","SS","0","5","5","5","5","March-April","September-October","2","3","0","0"
"HalesiaCarolina","SnowbellTree","","","Styracaceae","","","Halesia","Canopy","Perennial","D","5","1","2","4","SF","0","3","4","3","4","April-May","June","3","4","0","0"
"Hippophaespp.","SeaBuckthorns","H.Rhamnoides","","Elaeagnaceae","","","Hippophae","Canopy","Perennial","D","5-7","1","2","4","M-F","0","3","4","5","5","March-April","","2","3","0","0"
"Hippophaespp.","SeaBuckthorns","H.Salicifolia","","Elaeagnaceae","","","Hippophae","Canopy","Perennial","D","5-7","1","2","4","M-F","0","10","10","6","8","March-April","","2","3","0","0"
"Morusspp.","Mulberries","","","Moraceae","","","Morus","Canopy","Perennial","D","5","1","2","3","SF","0","5","10","5","10","Mai-June","","2","15","0","0"
"PrunusCerasifera","CherryPlum&Mirabelle","Myrobalan","Vigorous","Rosaceae","","","Prunus","Canopy","Perennial","D","4","1","2","3","SS","0","6","7","6","7","March-April","","3","4","0","0"
"PrunusCerasifera","CherryPlum&Mirabelle","StJulienA","Semi-Vigorous","Rosaceae","","","Prunus","Canopy","Perennial","D","4","1","3","3","SS","0","3.5","4.5","3.5","4.5","March-April","","3","4","0","0"
"PrunusSpinosa","Blackthorn-Sloe","","","Rosaceae","","","Prunus","Canopy","Perennial","D","4","1","2","3","SS","0","2","4","2","4","March-April","","3","4","0","0"
"SambucusNigra","EuropeanElder","","","Adoxaceae","","","Sambucus","Canopy","Perennial","D","5","1","3","3","SF","0","4","6","4","6","May-June","August-September","2","2","0","0"
"Sorbusspp.","Rowans,Whitebeams&ServiceTrees","S.Devoniensis","","Rosaceae","Amygdaloideae","Maleae","Sorbus","Canopy","Perennial","D","6","1","2","3","SF","0","6","6","4","4","March-April","September-December","3","5","0","0"
"Sorbusspp.","Rowans,Whitebeams&ServiceTrees","S.Domestica","","Rosaceae","Amygdaloideae","Maleae","Sorbus","Canopy","Perennial","D","6","1","2","3","SF","0","10","10","6","6","March-April","September-December","3","5","0","0"
"Sorbusspp.","Rowans,Whitebeams&ServiceTrees","S.Thibetica","","Rosaceae","Amygdaloideae","Maleae","Sorbus","Canopy","Perennial","D","6","1","2","3","SF","0","10","15","10","15","March-April","September-December","3","5","0","0"
"AraucariaAraucana","MonkeyPuzzle","","","Araucariaceae","","","Araucaria","Canopy","Perennial","E","6","1","1","2","M-F","0","20","20","5","5","June-August","September-December","25","25","0","0"
"CaraganaArborescens","SiberiaPeaTree","","","Fabaceae","","","Caragana","Canopy","Perennial","D","2","1","1","2","SF","0","2","6","2","4","Mai","","3","5","0","0"
"Caryaspp.","Hickories-Pecan","Caryillinoinensis","","Juglandaceae","Juglandoideae","Juglandeae","Carya","Canopy","Perennial","D","5","1","2","2","SS","0","6","6","6","6","June-July","","5","10","0","0"
"Caryaspp.","Hickories-Pecan","C.laciniosa","","Juglandaceae","Juglandoideae","Juglandeae","Carya","Canopy","Perennial","D","5","1","2","2","SS","0","15","20","15","20","June-July","","5","10","0","0"
"Caryaspp.","Hickories-Pecan","C.ovata","","Juglandaceae","Juglandoideae","Juglandeae","Carya","Canopy","Perennial","D","5","1","2","2","SS","0","15","20","15","20","June-July","","5","10","0","0"
"CastaneaSativaXCrenata","HybridSweetChestnut","","","Fagaceae","","","Castanea","Canopy","Perennial","D","5","1","2","4","SS","0","15","20","10","15","August","September-November","3","4","25","50"
"Corylusspp.","Hazels","","","Betulaceae","Coryloideae","","Corylus","Canopy","Perennial","D","4-5","1","4","3","SF","0","5","6","5","6","February-March","September","2","3","5","5"
"GinkgoBiloba","MaidenhairTree","","","Ginkgoaceae","","","Ginkgo","Canopy","Perennial","D","4","1","2","1","M-F","0","15","25","4","6","June-August","","20","20","0","0"
"JuglansAilantifoliaVar.Cordiformis","Heartnut","","","Juglandaceae","","","Juglans","Canopy","Perennial","D","4","1","2","3","SS","0","15","15","15","15","March-April","","4","8","0","0"
"JuglansNigra","BlackWalnut","","","Juglandaceae","Juglandoideae","Juglandeae","Juglans","Canopy","Perennial","D","4","1","2","2","SS","0","20","20","20","20","March-April","","4","8","0","0"
"JuglansRegia","Walnut","","","Juglandaceae","Juglandoideae","Juglandeae","Juglans","Canopy","Perennial","D","4","1","2","3","SS","0","20","20","15","15","May-June","","4","5","0","0"
"Pinusspp.","Pines","Pinons","","Pinaceae","Pinoideae","","Pinus","Canopy","Perennial","E","5-7","1","1","2","SF","0","3","5","3","5","June-August","","8","10","0","0"
"Pinusspp.","Pines","Stone","","Pinaceae","Pinoideae","","Pinus","Canopy","Perennial","E","5-7","1","1","2","SF","0","20","20","10","10","June-August","","8","10","0","0"
"PrunusDulcis","Almond","","","Rosaceae","","","Prunus","Canopy","Perennial","D","6","1","1","2","SF-SS","0","5","6","5","6","March","October","3","4","0","0"
"Quercusspp.","Oaks","","","Fagaceae","","","Quercus","Canopy","Perennial","D-E","3-7","1","3","2","SF","0","20","30","20","30","May-June","","3","5","0","0"
"Tiliaspp.","Limes-Lindens","","","Malvaceae","Tilioideae","","Tilia","Canopy","Perennial","D","2-5","1","4","4","SF","0","4","4","4","4","","","0","0","0","0"
"ToonaSinensis","ChineseCedar","","","Meliaceae","","","Toona","Canopy","Perennial","D","5","1","1","2","SF","0","15","15","10","10","","","0","0","0","0"
"Zanthoxylumspp.","PepperTrees","","","Rutaceae","Rutoideae","","Zanthoxylum","Canopy","Perennial","D","6","1","2","4","SF","0","3","4","3","4","May-June","","3","4","1.5","1.5"
"Acerspp..Maples&Betulaspp.","Birches","","","","","","","Canopy","Perennial","D","3-5","1","2","3","SF","0","15","25","15","25","","","0","0","0","0"
"Rhusspp.","Sumachs","Rhusgalabra","SmoothSumach","Anacardiaceae","Anacardioideae","","Rhus","Canopy","Perennial","D","2","1","2","3","SF","0","3","3","3","3","June-August","September-December","0","0","0","0"
"Rhusspp.","Sumachs","RhusTyphina","Stag'sHornSumach","Anacardiaceae","Anacardioideae","","Rhus","Canopy","Perennial","D","2","1","2","3","SF","0","3","4","3","4","June-August","September-December","0","0","0","0"
"Eucalyptusspp.","Eucalyptus","","","Myrtaceae","Myrtoideae","","Eucalyptus","Canopy","Perennial","E","7-8","1","1","2","SF","0","4","4","1.5","1.5","","","0","0","0","0"
"Acaciaspp.","Wattles","","","Fabaceae","","Acacieae","Acacia","Canopy","Perennial","E","8","1","1","2","SF","0","10","10","5","5","","","0","0","0","0"
"Alnusspp.","Alders","AlnusCordata","ItalianAlder","Betulaceae","Betuloideae","","Alnus","Canopy","Perennial","D","3-6","1","2","4","SF","0","20","20","6","6","","","0","0","0","0"
"Alnusspp.","Alders","AlnusGlutinosa","EuropeanAlder","Betulaceae","Betuloideae","","Alnus","Canopy","Perennial","D","3-6","1","2","4","SF","0","20","20","15","15","","","0","0","0","0"
"Alnusspp.","Alders","AlnusRubra","RedAlder","Betulaceae","Betuloideae","","Alnus","Canopy","Perennial","D","3-6","1","2","4","SF","0","30","30","6","6","","","0","0","0","0"
"Alnusspp.","Alders","AlnusSinuata","SitkaAlder","Betulaceae","Betuloideae","","Alnus","Canopy","Perennial","D","3-6","1","2","4","SF","0","10","10","4","4","","","0","0","0","0"
"Cercisspp.","Redbuds&JudasTree","","","Fabaceae","Cercidoideae","","Cercis","Canopy","Perennial","D","6-7","1","1","2","SF","0","5","5","5","5","","","0","0","0","0"
"Elaeagnusspp.","Elaeagnus","ElaeagnusAugustifolia","Oleaster","Elaeagnaceae","","","Elaeagnus","Canopy","Perennial","D","3","1","2","4","SS","0","7","7","3","3","","","0","0","0","0"
"Elaeagnusspp.","Elaeagnus","ElaeagnusCommutata","Silverberry","Elaeagnaceae","","","Elaeagnus","Canopy","Perennial","D","3","1","2","4","SS","0","4","5","3","4","","","0","0","0","0"
"Elaeagnusspp.","Elaeagnus","ElaeagnusUmbellata","AutumnOlive","Elaeagnaceae","","","Elaeagnus","Canopy","Perennial","D","3","1","2","4","SS","0","4","6","4","6","","","0","0","0","0"
"Elaeagnusspp.","Elaeagnus","ElaeagnusGlabara","","Elaeagnaceae","","","Elaeagnus","Canopy","Perennial","E","6","1","4","4","SS","0","3","4","3","4","","","0","0","0","0"
"Elaeagnusspp.","Elaeagnus","ElaeagnusPungens","","Elaeagnaceae","","","Elaeagnus","Canopy","Perennial","E","6","1","4","4","SS","0","3","4","2","3","","","0","0","0","0"
"Elaeagnusspp.","Elaeagnus","ElaeagnusXEbbingei","","Elaeagnaceae","","","Elaeagnus","Canopy","Perennial","E","6","1","4","4","SS","0","3","4","3","4","","","0","0","0","0"
"MaackiaAmurensis","AmurMaackia","","","Fabaceae","Faboideae","Sophoreae","Maackia","Canopy","Perennial","D","4","1","1","2","SF","0","10","15","7","10","","","0","0","0","0"
"Myricaspp.","Bayberries-WaxMyrtles","","","Myricaceae","","","Myrica","Canopy","Perennial","D-E","6-8","1","2","4","SF","0","4","8","2","3","","","0","0","0","0"
"RobiniaPseudoacacia","BloackLocust-FalseAcacia","","","Fabaceae","","","Robinia","Canopy","Perennial","D","3","1","2","3","SF","0","25","25","15","15","","","0","0","0","0"
"ShepherdiaArgentea","BuffaloBerry","","","Elaeagnaceae","","","Shepherdia","Canopy","Perennial","D","2","1","2","1","SS","0","4","6","4","6","","","0","0","0","0"
"RibesXCUlverwellii","Jostaberry","","","","","","","Shrub","Perennial","D","5","1","3","4","SF","0","1.5","3","1","2","March-May","July-August","-1","-1","0","0"
"RibesDivaricatum","Worcesterberry","","","Grossulariaceae","","","Ribes","Shrub","Perennial","D","4","1","3","4","SF","0","2","3","1.5","1.5","March-May","July-August","-1","-1","0","0"
"RibesNigrum","Blackcurrant","","","Grossulariaceae","","","Ribes","Shrub","Perennial","D","5","1","2","4","SF","0","2","2","1","1","April-May","June-September","-1","-1","0","0"
"RibesRubrum","Redcurrant-Whitecurrant","","","Grossulariaceae","","","Ribes","Shrub","Perennial","D","6","1","4","4","SF","0","2","2","1","1","March-May","June-September","-1","-1","0","0"
"RibesUva-Crispa","Gooseberry","","","Grossulariaceae","","","Ribes","Shrub","Perennial","D","5","1","3","4","SF","0","1","1.5","1","1.5","March-May","June-August","-1","-1","0","0"
"RubusFruticosus","Blackberry","","","Grossulariaceae","","","Ribes","Shrub","Perennial","D","6","1","4","4","SF","0","2","4","2","4","March-May","August-October","-1","-1","0","0"
"RubusIdaeus","Raspberry","","","Grossulariaceae","","","Ribes","Shrub","Perennial","D","3","1","3","4","SF","0","2","2","2","2","March-May","June-November","-1","-1","0","0"
"RubusPhoenicolasius","JapaneseWineberry","","","Rosaceae","","","Rubus","Shrub","Perennial","D","5","1","3","4","SF","0","1.5","2","2","2","March-May","July-September","-1","-1","0","0"
"VacciniumAaustrale&V.Corymbosum","NorthernBlueberries","","","Ericaceae","Vaccinioideae","Vaccinieae","Vaccinium","Shrub","Perennial","D-E","2-6","1","2","4","SF","0","1","1.5","1","1.5","March-May","June-September","-1","-1","0","0"
"VacciniumAshei&V.Darrowii","SouthernBlueberries","","","Ericaceae","Vaccinioideae","Vaccinieae","Vaccinium","Shrub","Perennial","E","6-9","1","2","4","SF","0","1","1.5","1","1.5","March-May","June-September","-1","-1","0","0"
"AmelanchierAlnifolia","Saskaoon","","","Rosaceae","","","Amelanchier","Shrub","Perennial","D","4","1","2","3","SF","0","2","3","2","2","March-May","July","2","3","0","0"
"Aroniaspp.","Chokeberries-AroniaBerries","AroniaArbutifolia","","Rosaceae","Amygdaloideae","Maleae","Aronia","Shrub","Perennial","D","4","1","3","4","SF","0","3","3","1.5","1.5","May-June","August-September","2","3","0","0"
"Aroniaspp.","Chokeberries-AroniaBerries","AroniaMelanocarpa","","Rosaceae","Amygdaloideae","Maleae","Aronia","Shrub","Perennial","D","4","1","3","4","SF","0","2","2","3","3","May-June","August-September","2","3","0","0"
"Aroniaspp.","Chokeberries-AroniaBerries","AroniaPrunifolia","","Rosaceae","Amygdaloideae","Maleae","Aronia","Shrub","Perennial","D","4","1","3","4","SF","0","3","3","2.5","2.5","May-June","August-September","2","3","0","0"
"Berberisspp.","Barberries","","","Berberidaceae","","","Berberis","Shrub","Perennial","D-E","6","1","3","3","SF","0","3","3","2","2","May-July","August-December","-1","-1","0","0"
"Cephalotaxusspp.","PlumYews","","","Rosaceae","Amygdaloideae","Maleae","Chaenomeles","Shrub","Perennial","E","6","2","4","4","M-F","0","3","5","3","5","May","October-November","4","5","0","0"
"Chaenomelesspp.","FloweringQuinces","C.XCalifornica","","Rosaceae","Amygdaloideae","Maleae","Chaenomeles","Shrub","Perennial","D","5","1","3","4","SF","0","1.8","1.8","1.8","1.8","March-May","October-November","-1","-1","0","0"
"Chaenomelesspp.","FloweringQuinces","C.Cathayensis","","Rosaceae","Amygdaloideae","Maleae","Chaenomeles","Shrub","Perennial","D","5","1","3","4","SF","0","3","3","3","3","March-May","October-November","-1","-1","0","0"
"Chaenomelesspp.","FloweringQuinces","C.Japonica","","Rosaceae","Amygdaloideae","Maleae","Chaenomeles","Shrub","Perennial","D","5","1","3","4","SF","0","1","1","2","2","March-May","October-November","-1","-1","0","0"
"Chaenomelesspp.","FloweringQuinces","C.Speciosa","","Rosaceae","Amygdaloideae","Maleae","Chaenomeles","Shrub","Perennial","D","5","1","3","4","SF","0","3","3","5","5","March-May","October-November","-1","-1","0","0"
